1: node --max_old_space_size=750 ./app.js
Address		  Kbytes     PSS   Dirty    Swap  Mode  Mapping
0000000d53600000     256     256     256       0  rw-p    [ anon ]
0000001d62fc0000     256     256     256       0  rw-p    [ anon ]
0000002d2d040000     256     256     256       0  rw-p    [ anon ]
00000035a2280000     256     256     256       0  rw-p    [ anon ]
000000547f540000     256     256     256       0  rw-p    [ anon ]
0000005a93640000     184     184     184       0  rw-p    [ anon ]
0000005eaa100000     256     256     256       0  rw-p    [ anon ]
00000087dba40000     256     256     256       0  rw-p    [ anon ]
0000008856bc0000     256     256     256       0  rw-p    [ anon ]
0000009b40b40000     256     256     256       0  rw-p    [ anon ]
000000a9bba00000     256     256     256       0  rw-p    [ anon ]
000000b6464c0000     256     256     256       0  rw-p    [ anon ]
000000c9b67c0000     256     256     256       0  rw-p    [ anon ]
000000cd2d640000     256     256     256       0  rw-p    [ anon ]
000000cd64c40000     256     256     256       0  rw-p    [ anon ]
000000e148400000     256     256     256       0  rw-p    [ anon ]
000000e358180000     256     256     256       0  rw-p    [ anon ]
000000ecb8b80000     180     180     180       0  rw-p    [ anon ]
000000f1ad8c0000     384     384     384       0  rw-p    [ anon ]
00000112da300000     256     256     256       0  rw-p    [ anon ]
00000116ae140000     256     256     256       0  rw-p    [ anon ]
000001218a140000     208     208     208       0  rw-p    [ anon ]
00000134be640000     256     256     256       0  rw-p    [ anon ]
00000134f0d40000     264     264     264       0  rw-p    [ anon ]
00000135e64c0000     256     256     256       0  rw-p    [ anon ]
0000013d23580000     256     256     256       0  rw-p    [ anon ]
0000014aea940000     256     256     256       0  rw-p    [ anon ]
0000017fa5100000     256     256     256       0  rw-p    [ anon ]
000001969d9c0000     256     256     256       0  rw-p    [ anon ]
0000019a16740000     256     256     256       0  rw-p    [ anon ]
0000019b29600000     256     256     256       0  rw-p    [ anon ]
000001bb78880000     256     256     256       0  rw-p    [ anon ]
000001bc3ed80000     256     256     256       0  rw-p    [ anon ]
000001c906bc0000     256     256     256       0  rw-p    [ anon ]
000001d711680000     256     256     256       0  rw-p    [ anon ]
000001e3ec780000     256     256     256       0  rw-p    [ anon ]
000002136ae40000     256     256     256       0  rw-p    [ anon ]
000002293a6c0000     264     264     264       0  rw-p    [ anon ]
0000022d15700000     256     256     256       0  rw-p    [ anon ]
0000023a1f7c0000     256     256     256       0  rw-p    [ anon ]
0000024053500000     256     256     256       0  rw-p    [ anon ]
00000248f9e40000     256     256     256       0  rw-p    [ anon ]
00000257f4180000     256     256     256       0  rw-p    [ anon ]
0000026b73e40000     200     200     200       0  rw-p    [ anon ]
000002839aa80000     256     256     256       0  rw-p    [ anon ]
0000029a03580000     152     152     152       0  rw-p    [ anon ]
0000029ac5f40000     256     256     256       0  rw-p    [ anon ]
0000029c842c0000     256     256     256       0  rw-p    [ anon ]
000002b348dc0000     256     256     256       0  rw-p    [ anon ]
000002e4d40c0000     256     256     256       0  rw-p    [ anon ]
000002ecced80000     256     256     256       0  rw-p    [ anon ]
000003087bf80000     256     256     256       0  rw-p    [ anon ]
