1: node --max_old_space_size=750 ./app.js
Address		  Kbytes     PSS   Dirty    Swap  Mode  Mapping
0000000060e80000     256     256     256       0  rw-p    [ anon ]
0000000b798c0000     256     256     256       0  rw-p    [ anon ]
0000000c6b300000     256     256     256       0  rw-p    [ anon ]
0000000e31a40000     256     256     256       0  rw-p    [ anon ]
00000015ceb00000     188     188     188       0  rw-p    [ anon ]
00000015d4380000     256     256     256       0  rw-p    [ anon ]
0000001f80800000     256     256     256       0  rw-p    [ anon ]
000000215eac0000     256     256     256       0  rw-p    [ anon ]
00000042c3980000     256     256     256       0  rw-p    [ anon ]
00000052d1380000     256     256     256       0  rw-p    [ anon ]
00000058f8a80000     256     256     256       0  rw-p    [ anon ]
0000006bc7cc0000     256     256     256       0  rw-p    [ anon ]
0000006bcf580000     256     256     256       0  rw-p    [ anon ]
0000007039d80000     256     256     256       0  rw-p    [ anon ]
00000074c6200000     256     256     256       0  rw-p    [ anon ]
000000794e1c0000     256     256     256       0  rw-p    [ anon ]
0000008a0b400000     256     256     256       0  rw-p    [ anon ]
0000008a7f680000     256     256     256       0  rw-p    [ anon ]
0000008e8f500000     256     256     256       0  rw-p    [ anon ]
0000008f66ec0000     256     256     256       0  rw-p    [ anon ]
000000965f040000     256     256     256       0  rw-p    [ anon ]
000000a5fd1c0000     256     256     256       0  rw-p    [ anon ]
000000aadd980000     256     256     256       0  rw-p    [ anon ]
000000abb7100000     256     256     256       0  rw-p    [ anon ]
000000abe6540000     256     256     256       0  rw-p    [ anon ]
000000b320dc0000     256     256     256       0  rw-p    [ anon ]
000000b4de380000     256     256     256       0  rw-p    [ anon ]
000000c1c4b00000     256     256     256       0  rw-p    [ anon ]
000000cd9c9c0000     256     256     256       0  rw-p    [ anon ]
000000ce8cd40000     256     256     256       0  rw-p    [ anon ]
000000d421280000     256     256     256       0  rw-p    [ anon ]
000000d6de8c0000     256     256     256       0  rw-p    [ anon ]
000000de3b380000     256     256     256       0  rw-p    [ anon ]
000000e24bc40000     256     256     256       0  rw-p    [ anon ]
000000e501240000     256     256     256       0  rw-p    [ anon ]
000000e54c3c0000     256     256     256       0  rw-p    [ anon ]
000000e910fc0000     256     256     256       0  rw-p    [ anon ]
000000ec76540000     256     256     256       0  rw-p    [ anon ]
000000f09b700000     256     256     256       0  rw-p    [ anon ]
000000f2f2a40000     256     256     256       0  rw-p    [ anon ]
000001062fd00000     256     256     256       0  rw-p    [ anon ]
00000113c1940000     256     256     256       0  rw-p    [ anon ]
0000011508bc0000     256     256     256       0  rw-p    [ anon ]
00000123b5100000     256     256     256       0  rw-p    [ anon ]
000001267c080000     256     256     256       0  rw-p    [ anon ]
0000012765440000     256     256     256       0  rw-p    [ anon ]
0000013fa4d40000     256     256     256       0  rw-p    [ anon ]
00000142f0b00000     256     256     256       0  rw-p    [ anon ]
000001511f180000     256     256     256       0  rw-p    [ anon ]
00000159f3f40000     256     256     256       0  rw-p    [ anon ]
00000169c1500000     256     256     256       0  rw-p    [ anon ]
0000016de3940000     256     256     256       0  rw-p    [ anon ]
0000016f5ca00000     256     256     256       0  rw-p    [ anon ]
00000177e0380000     256     256     256       0  rw-p    [ anon ]
0000017c4f0c0000     256     256     256       0  rw-p    [ anon ]
0000018bb2ec0000     256     256     256       0  rw-p    [ anon ]
0000018d36e40000     256     256     256       0  rw-p    [ anon ]
0000018d82100000     256     256     256       0  rw-p    [ anon ]
00000193fa7c0000     256     256     256       0  rw-p    [ anon ]
00000196ee800000     256     256     256       0  rw-p    [ anon ]
000001a708c40000     256     256     256       0  rw-p    [ anon ]
000001c826140000     256     256     256       0  rw-p    [ anon ]
000001c846200000     256     256     256       0  rw-p    [ anon ]
000001d56c1c0000     256     256     256       0  rw-p    [ anon ]
000001dd69280000     256     256     256       0  rw-p    [ anon ]
000001de17c40000     256     256     256       0  rw-p    [ anon ]
000001de4a400000     256     256     256       0  rw-p    [ anon ]
000001e491600000     256     256     256       0  rw-p    [ anon ]
000001f0798c0000     256     256     256       0  rw-p    [ anon ]
000001f21b200000     256     256     256       0  rw-p    [ anon ]
000001fc2eac0000     256     256     256       0  rw-p    [ anon ]
000002056e480000     256     256     256       0  rw-p    [ anon ]
00000213f0bc0000      52      52      52       0  r--p    [ anon ]
00000218f0240000     256     256     256       0  rw-p    [ anon ]
0000021d40140000     256     256     256       0  rw-p    [ anon ]
000002243ae00000     256     256     256       0  rw-p    [ anon ]
0000022e4e880000     256     256     256       0  rw-p    [ anon ]
000002344f500000     256     256     256       0  rw-p    [ anon ]
0000023834fc0000     256     256     256       0  rw-p    [ anon ]
0000023cc9f00000     256     256     256       0  rw-p    [ anon ]
00000242aea80000     256     256     256       0  rw-p    [ anon ]
0000024505500000     256     256     256       0  rw-p    [ anon ]
0000025129d40000     256     256     256       0  rw-p    [ anon ]
00000259cc640000     256     256     256       0  rw-p    [ anon ]
00000260928c0000     256     256     256       0  rw-p    [ anon ]
00000269ebe80000     256     256     256       0  rw-p    [ anon ]
0000026be8380000     256     256     256       0  rw-p    [ anon ]
00000270ed880000     256     256     256       0  rw-p    [ anon ]
00000272ebcc0000     256     256     256       0  rw-p    [ anon ]
00000282e1ac0000     256     256     256       0  rw-p    [ anon ]
0000028824bc0000     256     256     256       0  rw-p    [ anon ]
000002893eb40000     256     256     256       0  rw-p    [ anon ]
0000028c25980000     256     256     256       0  rw-p    [ anon ]
0000028fde080000     256     256     256       0  rw-p    [ anon ]
0000029342d00000     256     256     256       0  rw-p    [ anon ]
000002a01fb00000     256     256     256       0  rw-p    [ anon ]
000002a9fcbc0000     256     256     256       0  rw-p    [ anon ]
000002b100b40000     256     256     256       0  rw-p    [ anon ]
000002c142640000     256     256     256       0  rw-p    [ anon ]
000002c490740000     256     256     256       0  rw-p    [ anon ]
000002c4ebfc0000     256     256     256       0  rw-p    [ anon ]
000002cffc3c0000     256     256     256       0  rw-p    [ anon ]
000002d3cc640000     256     256     256       0  rw-p    [ anon ]
000002e92e880000     256     256     256       0  rw-p    [ anon ]
000002e973140000     256     256     256       0  rw-p    [ anon ]
000002fa28080000     256     256     256       0  rw-p    [ anon ]
0000030196bc0000     256     256     256       0  rw-p    [ anon ]
0000030e9f880000     256     256     256       0  rw-p    [ anon ]
000003121bf80000     256     256     256       0  rw-p    [ anon ]
0000031f5d440000     256     256     256       0  rw-p    [ anon ]
00000320fedc0000     256     256     256       0  rw-p    [ anon ]
000003240a200000     256     256     256       0  rw-p    [ anon ]
00000324378c0000     256     256     256       0  rw-p    [ anon ]
0000032a17400000     256     256     256       0  rw-p    [ anon ]
0000032a5d700000     256     256     256       0  rw-p    [ anon ]
0000032af6c40000     256     256     256       0  rw-p    [ anon ]
0000032b94f00000     256     256     256       0  rw-p    [ anon ]
0000032c82180000     256     256     256       0  rw-p    [ anon ]
0000032e06980000     256     256     256       0  rw-p    [ anon ]
0000032f46e80000     256     256     256       0  rw-p    [ anon ]
00000332d4d40000     256     256     256       0  rw-p    [ anon ]
0000033c73bc0000     256     256     256       0  rw-p    [ anon ]
00000359c2bc0000     256     256     256       0  rw-p    [ anon ]
0000035d1bdc0000     256     256     256       0  rw-p    [ anon ]
0000035d95ac0000     256     256     256       0  rw-p    [ anon ]
0000036586400000     256     256     256       0  rw-p    [ anon ]
00000365a3680000     256     256     256       0  rw-p    [ anon ]
0000036b916c0000     256     256     256       0  rw-p    [ anon ]
